tamano,sector,ActividadEconomica,SENA,Temporal,BolsaEmpleo,Periodico,RecomendacioAmigos,RecomendacionTra,Otro,Nivel_contratados,TotalProfesionales,TotalTecTecnolo
MEDIANA,INDUSTRIA,FRABICACION DE EQUIPOS CONTRA,2,,,,,,,Universitarios,5,0
MEDIANA,INDUSTRIA,INDUSTRIA,4,,,,,,,Universitarios,6,4
MEDIANA,INDUSTRIA,ESTRUSION DE PLASTICOS,2,4,5,6,,,,Universitarios,20,20
MEDIANA,INDUSTRIA,DISTRIBUCION DE PRODUCTOS VETE,4,5,,,,,,Tecnicos o Tecnologos,2,3
MEDIANA,INDUSTRIA,FABRICANTES DE DISPERSORES,7,,,,,,,Tecnicos o Tecnologos,0,4
MEDIANA,INDUSTRIA,SEVICIOS DE INVERSION,7,,,,,,,Tecnicos o Tecnologos,1,2
MEDIANA,INDUSTRIA,CONFECCION,1,2,3,4,5,,,Universitarios,3,2
MEDIANA,INDUSTRIA,INDUSTRIA,2,4,,,,,,Universitarios,8,2
MEDIANA,INDUSTRIA,FABRICACION Y DISTRIBUCCION,2,,,,,,,Tecnicos o Tecnologos,5,7
MEDIANA,INDUSTRIA,DISTRIBUIDORES DE LLANTAS,4,,,,,,,Tecnicos o Tecnologos,0,20
MEDIANA,INDUSTRIA,INDUSTRIA,4,6,,,,,,Universitarios,2,1
MEDIANA,INDUSTRIA,FABRICACION DE PINTURAS,3,,,,,,,Universitarios,3,2
MEDIANA,INDUSTRIA,COMERCIALIZACION DE PRODUCTOS,2,,,,,,,Universitarios,3,0
MEDIANA,INDUSTRIA,INDUSTRIAL,1,2,3,5,6,,,Universitarios,3,1
MEDIANA,INDUSTRIA,DISE¥O DE MAQUINARIA,4,5,6,,,,,Tecnicos o Tecnologos,20,52
MEDIANA,INDUSTRIA,ENVASES PLASTICOS,4,,,,,,,Tecnicos o Tecnologos,0,3
MEDIANA,INDUSTRIA,EDICION DE TEXTOS,7,,,,,,,Universitarios,2,0
MEDIANA,INDUSTRIA,INDUSTRIA,1,7,6,,,,,Universitarios,25,20
MEDIANA,INDUSTRIA,AGROPECUARIA,2,,,,,,,Universitarios,2,1
MEDIANA,INDUSTRIA,METALURGICA,2,,,,,,,Tecnicos o Tecnologos,2,6
MEDIANA,INDUSTRIA,EDICION PRODUCCION DE LIBROS,1,4,5,6,,,,Tecnicos o Tecnologos,0,1
MEDIANA,INDUSTRIA,INVERSIONES,7,,,,,,,Tecnicos o Tecnologos,2,5
MEDIANA,INDUSTRIA,VENTA DE PAN,7,,,,,,,Universitarios,4,2
MEDIANA,INDUSTRIA,METALMECANICA,2,,,,,,,Tecnicos o Tecnologos,2,4
MEDIANA,INDUSTRIA,FABRICACION MOLDES PROCESOS DE,6,,,,,,,Universitarios,1,1
MEDIANA,INDUSTRIA,INDUSTRIA FARMACEUTICA,2,5,6,4,,,,Tecnicos o Tecnologos,20,25
MEDIANA,INDUSTRIA,PRODUCCION INDUSTRIAL,1,7,4,,,,,Universitarios,3,2
MEDIANA,INDUSTRIA,COMERCIALIZACION DE PRODUCTOS,1,4,,,,,,Universitarios,20,10
MEDIANA,SERVICIOS,ACTIVIDADES DE ARQUITECTURA E INGENIERIA,4,7,,,,,,Universitarios,10,8
MEDIANA,SERVICIOS,COMERCIO DE EQUIPOS DE COMPUTA,1,3,4,5,6,7,,Universitarios,4,0
MEDIANA,SERVICIOS,SERVICIOS JURIDICOS,1,6,5,7,,,,Tecnicos o Tecnologos,24,25
MEDIANA,SERVICIOS,REPRESENTACION AUTOMORIZ EXTRA,1,4,5,6,,,,Universitarios,3,1
MEDIANA,SERVICIOS,AGENCIAMIENTO DE GARGA,7,2,,,,,,Universitarios,15,10
MEDIANA,SERVICIOS,CONSTRUCCION,1,3,,,,,,Universitarios,17,10
MEDIANA,SERVICIOS,INVERSIONES,1,,,,,,,Universitarios,2,0
MEDIANA,SERVICIOS,CONSULTORIAS,4,6,5,2,,,,Universitarios,15,1
MEDIANA,SERVICIOS,TRANSPORTE DE CARGA,6,,,,,,,Tecnicos o Tecnologos,2,4
MEDIANA,SERVICIOS,MANUFACTURERA,1,2,5,6,,,,Universitarios,40,15
MEDIANA,SERVICIOS,COMPRA Y VENTA DE MATERIALES,2,1,5,7,,,,Tecnicos o Tecnologos,4,5
MEDIANA,SERVICIOS,HOTELERIA Y RESTAURANTES,1,5,6,,,,,Tecnicos o Tecnologos,1,4
MEDIANA,SERVICIOS,AGENTE DE CARGA,4,6,,,,,,Tecnicos o Tecnologos,0,1
MEDIANA,SERVICIOS,PUBLICIDAD,5,6,,,,,,Universitarios,1,0
MEDIANA,SERVICIOS,SERVICIOS,1,2,4,6,5,,,Tecnicos o Tecnologos,3,6
MEDIANA,SERVICIOS,CONSTRUCCION,2,,,,,,,Tecnicos o Tecnologos,5,6
MEDIANA,SERVICIOS,SERVICIO DE TRANSPORTE,4,1,6,,,,,Tecnicos o Tecnologos,4,6
MEDIANA,SERVICIOS,AGENCIA DE CARGA,6,7,5,4,,,,Tecnicos o Tecnologos,2,6
MEDIANA,SERVICIOS,FOTOGRAFIA,4,,,,,,,Universitarios,20,10
MEDIANA,SERVICIOS,CONSULTORES EN PROGRAMAS DE INFORMATICA ,4,5,6,,,,,Universitarios,24,0
MEDIANA,SERVICIOS,SERVICIOS DE ASESORIA,7,,,,,,,Tecnicos o Tecnologos,12,18
MEDIANA,SERVICIOS,TURISMO,5,6,,,,,,Universitarios,10,5
MEDIANA,SERVICIOS,ASADEROS DE POLLO,6,,,,,,,Tecnicos o Tecnologos,1,2
MEDIANA,SERVICIOS,SERVICIOS DE CONSTRUCCION,1,4,,,,,,Tecnicos o Tecnologos,12,15
MEDIANA,SERVICIOS,SERVICIOS DE EXPORTACION,2,,,,,,,Tecnicos o Tecnologos,1,2
MEDIANA,SERVICIOS,CONSTRUCTORA DE BIENES INMUEBL,1,,,,,,,Tecnicos o Tecnologos,1,2
MEDIANA,SERVICIOS,INVERSIONES,1,5,6,,,,,Tecnicos o Tecnologos,2,4
MEDIANA,SERVICIOS,ASOCIACION,7,,,,,,,Tecnicos o Tecnologos,1,2
MEDIANA,SERVICIOS,ASESORIAS,5,6,,,,,,Universitarios,2,0
MEDIANA,SERVICIOS,ALQUILER DE EQUIPOS PARA OF,4,,,,,,,Universitarios,5,0
MEDIANA,SERVICIOS,CONSTRUCCION,1,7,,,,,,Universitarios,30,0
MEDIANA,SERVICIOS,TELEFONIA CELULAR,1,2,4,5,6,,,Tecnicos o Tecnologos,30,50
MEDIANA,SERVICIOS,CONSTRUCCION,6,5,,,,,,Universitarios,2,0
MEDIANA,SERVICIOS,INGENIEROS ELECTRICO Y COMUNIC,1,5,6,,,,,Universitarios,30,15
MEDIANA,SERVICIOS,FINANCIERA,2,,,,,,,Universitarios,2,0
MEDIANA,SERVICIOS,EDUCACION,5,6,,,,,,Universitarios,2,0
MEDIANA,SERVICIOS,INVERSIONES,3,5,6,,,,,Tecnicos o Tecnologos,1,3
MEDIANA,SERVICIOS,CONSTRUCCION,6,5,,,,,,Tecnicos o Tecnologos,1,2
MEDIANA,SERVICIOS,SERVICIO FINANCIERO,6,,,,,,,Universitarios,3,0
MEDIANA,SERVICIOS,COMERCIO AL POR MAYOR DE PRODUCTOS DIVERSOS,7,,,,,,,Tecnicos o Tecnologos,2,4
MEDIANA,SERVICIOS,SERVICIOS DE HOSPEDAJE,7,,,,,,,Universitarios,12,0
MEDIANA,SERVICIOS,IMPRESION DE PAPEL,1,4,6,,,,,Tecnicos o Tecnologos,5,11
MEDIANA,SERVICIOS,CONSTRUCCION,1,4,6,5,,,,Tecnicos o Tecnologos,25,63
MEDIANA,SERVICIOS,LA LOGISTICA DE IMPORTACIONES,3,,,,,,,Universitarios,32,0
MEDIANA,SERVICIOS,COMERCIO,5,6,,,,,,Tecnicos o Tecnologos,12,13
MEDIANA,SERVICIOS,CONSTRUCCION,4,5,,,,,,Universitarios,3,0
MEDIANA,SERVICIOS,PRODUCCION DE MESCLAS ASFALTIC,4,,,,,,,Tecnicos o Tecnologos,5,10
MEDIANA,SERVICIOS,ARTES GRAFICAS,1,3,,,,,,Tecnicos o Tecnologos,10,12
MEDIANA,SERVICIOS,SERVICIOS,7,,,,,,,Universitarios,60,20
MEDIANA,SERVICIOS,CONSULTORIA,1,3,4,,,,,Universitarios,60,0
PEQUE¥A,COMERCIO,FABRICA AUTOPARTES,1,4,,,,,,Tecnicos o Tecnologos,1,2
